Date,Time,Hockey,Tournament,Home,Age,,Guests,Age,Place,URL
01.12.2018,13:40,Хоккей,K- Classic 1. liga dorastu,Prešov Penguins,U18,vs,Mládež HC 46 Bardejov,U18,at Tréningová hala SA Košice,https://www.hockeyslovakia.sk/sk/stats/matches/674/k-classic-1-liga-dorastu/match/102931/preview
01.12.2018,13:40,Хоккей,K- Classic 1. liga dorastu,Ha Slávia Prešov,U18,vs,MŠKM  Trebišov,U18,at PSK aréna Prešov,https://www.hockeyslovakia.sk/sk/stats/matches/674/k-classic-1-liga-dorastu/match/102932/preview
01.12.2018,16:00,Хоккей,Kaufland extraliga dorastu,HC Košice s.r.o.,U18,vs,HK Mládež Michalovce,U18,at STEEL Arena Košice,https://www.hockeyslovakia.sk/sk/stats/matches/672/kaufland-extraliga-dorastu/match/100652/preview
01.12.2018,16:00,Флорбол,1. liga muži,Žltý Sneh Košice,Взрослые,vs,DTF team Detva Joxers,Взрослые,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
01.12.2018,17:45,Хоккей,Extraliga juniorov,HC Košice,U20,vs,HC SLOVAN Bratislava,U20,at STEEL Arena Košice,https://www.hockeyslovakia.sk/sk/stats/matches/671/extraliga-juniorov/match/100356/preview
01.12.2018,18:00,Флорбол,Dorastenci - Východ,ŠK Gama Košice,U18,vs,FbC Young Arrows Spišská Nová Ves,U18,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
01.12.2018,19:00,Флорбол,Extraliga juniori,FBC Mikuláš Prešov,U20,vs,FaBK ATU Košice,U20,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
01.12.2018,19:00,Флорбол,1. liga muži,Eastern Wings Michalovce,Взрослые,vs,FBK Harvard Partizánske,Взрослые,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
02.12.2018,12:30,Хоккей,Kaufland extraliga dorastu,HC Košice s.r.o.,U18,vs,HK Mládež Michalovce,U18,at STEEL Arena Košice,https://www.hockeyslovakia.sk/sk/stats/matches/672/kaufland-extraliga-dorastu/match/100659/preview
02.12.2018,13:00,Хоккей,Extraliga juniorov,HC Košice,U20,vs,HC SLOVAN Bratislava,U20,at STEEL Arena Košice,https://www.hockeyslovakia.sk/sk/stats/matches/671/extraliga-juniorov/match/100361/preview
02.12.2018,17:00,Флорбол,Extraliga juniori,FBC Mikuláš Prešov,U20,vs,FK Florko Košice,U20,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
02.12.2018,18:00,Флорбол,1. liga muži,Eastern Wings Michalovce,Взрослые,vs,DTF team Detva Joxers,Взрослые,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
02.12.2018,18:00,Флорбол,1. liga muži,Žltý Sneh Košice,Взрослые,vs,FBK Harvard Partizánske,Взрослые,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
05.12.2018,19:30,Хоккей,ST. NICOLAUS 1. hokejová liga,HK Dukla Ingema Michalovce,Взрослые,vs,HC Topoľčany,Взрослые,at ZŠ Michalovce,https://www.hockeyslovakia.sk/sk/stats/matches/669/st-nicolaus-1-hokejova-liga/match/100100/preview
05.12.2018,19:30,Флорбол,Dorastenci - Východ,ŠK Gama Košice,U18,vs,FaBK ATU Košice,U18,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
08.12.2018,16:00,Хоккей,1. liga juniorov,Prešov Penguins,U20,vs,PHC Budapest,U20,at Tréningová hala SA Košice,https://www.hockeyslovakia.sk/sk/stats/matches/673/1-liga-juniorov/match/102668/preview
08.12.2018,17:00,Хоккей,1. liga juniorov,HK Mládež Michalovce,U20,vs,HKM Zvolen,U20,at ZŠ Michalovce,https://www.hockeyslovakia.sk/sk/stats/matches/673/1-liga-juniorov/match/102669/preview
09.12.2018,12:00,Хоккей,1. liga juniorov,HK Mládež Michalovce,U20,vs,HKM Zvolen,U20,at ZŠ Michalovce,https://www.hockeyslovakia.sk/sk/stats/matches/673/1-liga-juniorov/match/102672/preview
09.12.2018,16:00,Хоккей,1. liga juniorov,Prešov Penguins,U20,vs,PHC Budapest,U20,at Tréningová hala SA Košice,https://www.hockeyslovakia.sk/sk/stats/matches/673/1-liga-juniorov/match/102671/preview
09.12.2018,18:00,Хоккей,Extraliga žien,ŽHK 2000 - ŠARIŠANKA Prešov,Взрослые,vs,ŽHKm Zvolen,Взрослые,at TH STEEL Aréna Košice,https://www.hockeyslovakia.sk/sk/stats/matches/685/extraliga-zien/match/102594/preview
09.12.2018,19:30,Хоккей,ST. NICOLAUS 1. hokejová liga,HK Dukla Ingema Michalovce,Взрослые,vs,HK ‘95 Považská Bystrica,Взрослые,at ZŠ Michalovce,https://www.hockeyslovakia.sk/sk/stats/matches/669/st-nicolaus-1-hokejova-liga/match/100111/preview
16.12.2018,19:30,Хоккей,ST. NICOLAUS 1. hokejová liga,HK Dukla Ingema Michalovce,Взрослые,vs,HK Gladiators Trnava,Взрослые,at ZŠ Michalovce,https://www.hockeyslovakia.sk/sk/stats/matches/669/st-nicolaus-1-hokejova-liga/match/100133/preview
21.12.2018,16:00,Хоккей,Extraliga juniorov,HC Košice,U20,vs,MHA Martin,U20,at STEEL Arena Košice,https://www.hockeyslovakia.sk/sk/stats/matches/671/extraliga-juniorov/match/100378/preview
21.12.2018,16:00,Хоккей,Kaufland extraliga dorastu,HK Mládež Michalovce,U18,vs,HC ‘05 Banská Bystrica,U18,at ZŠ Michalovce,https://www.hockeyslovakia.sk/sk/stats/matches/672/kaufland-extraliga-dorastu/match/100675/preview
21.12.2018,16:00,Хоккей,1. liga juniorov,HK Mládež Michalovce,U20,vs,MHK Humenné,U20,at ZŠ Michalovce,https://www.hockeyslovakia.sk/sk/stats/matches/673/1-liga-juniorov/match/102675/preview
21.12.2018,19:30,Хоккей,ST. NICOLAUS 1. hokejová liga,HK Dukla Ingema Michalovce,Взрослые,vs,MHC Mikron Nové Zámky B,Взрослые,at ZŠ Michalovce,https://www.hockeyslovakia.sk/sk/stats/matches/669/st-nicolaus-1-hokejova-liga/match/100144/preview
